Group,Intercept,[MON|TUE],[MON|WED],[MON|THU],[MON|FRI],[MON|SAT],[MON|SUN],Gender[F|M],Violation[DRIVER|MOVEMENT],Violation[DRIVER|Others],Violation[DRIVER|VEHICLE],Is Rush hour,driver age,Count of violation
1,-6.779,0.3239,0.2798,0.2678,-0.401,-1.3092,-1.4952,1.9967,-0.0496,1.0893,2.2318,0.1433,0.0178,0.3081
2,-7.5974,0.6256,0.577,0.4789,0.5388,-0.5603,-1.1368,0.5615,0.3655,0.5478,-0.2143,0.399,0.0156,0.3205
3,-7.1451,0.3132,0.0871,0.1922,-0.0119,-0.8519,-1.3366,2.3277,0.0362,1.0841,2.5617,0.124,0.0188,-0.0843
4,-7.4892,-0.261,0.0278,-0.3471,-0.6742,-0.8492,-0.8742,2.413,-1.1073,0.4454,1.3746,0.2379,0.027,0.5609
5,-5.9636,0.392,0.3594,0.2065,-0.4615,-2.5971,-3.0477,2.4074,0.151,0.1525,2.1137,0.1465,0.0202,0.4423
6,-5.6685,0.3052,0.1448,0.1948,-0.2838,-1.1641,-1.1467,1.4701,0.044,0.9272,1.7994,0.2562,0.0123,0.282
7,-6.2773,-0.3769,-0.1768,0.0369,-0.284,0.0451,-0.0496,-0.1491,0.0655,2.9479,3.2828,0.8395,-0.0008,0.7434
8,-4.1863,0.3214,-0.1253,0.3314,0.1802,0.0157,-0.1897,0.6548,-1.5612,0.5946,0.584,-0.4794,0.0058,-0.3251
9,-20.4692,1.7721,2.0178,0.6047,0.6139,1.116,-17.9722,1.167,11.4797,13.7226,14.8616,-0.118,0.0092,0.136
10,-26.4112,0.9649,0.3985,1.03,0.5451,0.4947,0.1449,0.478,20.2729,22.7238,22.6853,0.2068,0.0059,-0.159
