Group,Intercept,[MON|TUE],[MON|WED],[MON|THU],[MON|FRI],[MON|SAT],[MON|SUN],Gender[F|M],Violation[DRIVER|MOVEMENT],Violation[DRIVER|Others],Violation[DRIVER|VEHICLE],Is Rush hour,driver age,Count of violation
1,-6.779,0.3239,0.2798,0.2678,-0.401,-1.3092,-1.4952,1.9967,0,1.0893,2.2318,0.1433,0.0178,0.3081
2,-7.5974,0,0,0,0,0,0,0.5615,0,0,0,0.399,0.0156,0.3205
3,-7.1451,0.3132,0,0,0,-0.8519,-1.3366,2.3277,0,1.0841,2.5617,0,0.0188,0
4,-7.4892,-0.261,0,-0.3471,-0.6742,-0.8492,-0.8742,2.413,-1.1073,0.4454,1.3746,0.2379,0.027,0.5609
5,-5.9636,0.392,0.3594,0.2065,-0.4615,-2.5971,-3.0477,2.4074,0,0,2.1137,0.1465,0.0202,0.4423
6,-5.6685,0.3052,0.1448,0.1948,-0.2838,-1.1641,-1.1467,1.4701,0,0.9272,1.7994,0.2562,0.0123,0.282
7,-6.2773,0,0,0,0,0,0,0,0,2.9479,3.2828,0.8395,0,0.7434
8,-4.1863,0,0,0,0,0,0,0,-1.5612,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
