Group,Intercept,[MON|TUE],[MON|WED],[MON|THU],[MON|FRI],[MON|SAT],[MON|SUN],Gender[F|M],Violation[DRIVER|MOVEMENT],Violation[DRIVER|Others],Violation[DRIVER|VEHICLE],Is Rush hour,driver age,Count of violation
1,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0
2,0,0.111,0.138,0.231,0.142,0.279,0.085,0.015,0.54,0.363,0.763,0.048,0.016,0.047
3,0,0.029,0.557,0.196,0.935,0,0,0,0.905,0,0,0.156,0,0.136
4,0,0.024,0.799,0.003,0,0,0,0,0,0.028,0,0.001,0,0
5,0,0,0,0.028,0,0,0,0,0.477,0.487,0,0.017,0,0
6,0,0,0.02,0.002,0,0,0,0,0.742,0,0,0,0,0
7,0,0.255,0.609,0.912,0.352,0.895,0.89,0.42,0.951,0.004,0.001,0,0.905,0
8,0,0.637,0.861,0.613,0.772,0.982,0.791,0.109,0.046,0.444,0.485,0.267,0.599,0.341
9,0.993,0.109,0.06,0.624,0.619,0.322,0.998,0.064,0.996,0.995,0.995,0.81,0.502,0.711
10,0.999,0.071,0.477,0.054,0.323,0.409,0.822,0.099,0.999,0.999,0.999,0.454,0.507,0.499
